cx,cy,cz,w,ux_xy,ux_xz,ux_yy,ux_zz,ux_yz,uy_xy,uy_yz,uy_xx,uy_zz,uy_xz,uz_xz,uz_yz,uz_xx,uz_yy,uz_xy
0,0,0,1/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1/18,0,0,-1/4,-1/4,0,-1/2,0,0,0,0,-1/2,0,0,0,0
-1,0,0,1/18,0,0,1/4,1/4,0,1/2,0,0,0,0,1/2,0,0,0,0
0,1,0,1/18,-1/2,0,0,0,0,0,0,-1/4,-1/4,0,0,-1/2,0,0,0
0,-1,0,1/18,1/2,0,0,0,0,0,0,1/4,1/4,0,0,1/2,0,0,0
0,0,1,1/18,0,-1/2,0,0,0,0,-1/2,0,0,0,0,0,-1/4,-1/4,0
0,0,-1,1/18,0,1/2,0,0,0,0,1/2,0,0,0,0,0,1/4,1/4,0
-1,-1,0,1/36,-1/2,0,-1/4,1/8,0,-1/2,0,-1/4,1/8,0,1/4,1/4,0,0,0
-1,1,0,1/36,1/2,0,-1/4,1/8,0,-1/2,0,1/4,-1/8,0,1/4,-1/4,0,0,0
1,-1,0,1/36,-1/2,0,1/4,-1/8,0,1/2,0,-1/4,1/8,0,-1/4,1/4,0,0,0
1,1,0,1/36,1/2,0,1/4,-1/8,0,1/2,0,1/4,-1/8,0,-1/4,-1/4,0,0,0
-1,0,-1,1/36,0,-1/2,1/8,-1/4,0,1/4,1/4,0,0,0,-1/2,0,-1/4,1/8,0
-1,0,1,1/36,0,1/2,1/8,-1/4,0,1/4,-1/4,0,0,0,-1/2,0,1/4,-1/8,0
1,0,-1,1/36,0,-1/2,-1/8,1/4,0,-1/4,1/4,0,0,0,1/2,0,-1/4,1/8,0
1,0,1,1/36,0,1/2,-1/8,1/4,0,-1/4,-1/4,0,0,0,1/2,0,1/4,-1/8,0
0,-1,-1,1/36,1/4,1/4,0,0,0,0,-1/2,1/8,-1/4,0,0,-1/2,1/8,-1/4,0
0,-1,1,1/36,1/4,-1/4,0,0,0,0,1/2,1/8,-1/4,0,0,-1/2,-1/8,1/4,0
0,1,-1,1/36,-1/4,1/4,0,0,0,0,-1/2,-1/8,1/4,0,0,1/2,1/8,-1/4,0
0,1,1,1/36,-1/4,-1/4,0,0,0,0,1/2,-1/8,1/4,0,0,1/2,-1/8,1/4,0
